Time,LeftEncoder,RightEncoder,EstimatedDistance
43.16799999999999,181.12776,364.79264,9.0076866
43.2,181.09008,364.83032,9.0076866
43.232,181.0524,364.868,9.0076866
43.263999999999996,181.01472,364.90568,9.007686600000001
43.29599999999999,180.97704,364.94336,9.0076866
43.328,180.93308,364.98104,9.00758298
43.36,180.8954,365.025,9.0076866
43.391999999999996,180.85772,365.06268,9.0076866
43.42399999999999,180.82004,365.10036,9.007686600000001
43.456,180.78236,365.13804,9.0076866
43.488,180.7384,365.17572,9.00758298
43.519999999999996,180.70072,365.2134,9.00758298
43.55199999999999,180.66304,365.25736,9.0076866
43.584,180.62536,365.29504,9.0076866
43.616,180.58768,365.33272,9.0076866
43.647999999999996,180.55,365.3704,9.007686600000001
43.67999999999999,180.50604,365.40808,9.00758298
43.712,180.46836,365.45204,9.0076866
43.744,180.43068,365.48972,9.0076866
43.775999999999996,180.393,365.5274,9.007686600000001
43.80799999999999,180.35532,365.56508,9.007686600000001
43.84,180.31764,365.60276,9.007686600000001
43.872,180.27368,365.64044,9.00758298
43.903999999999996,180.236,365.6844,9.0076866
43.93599999999999,180.19832,365.72208,9.007686600000001
43.968,180.16064,365.75975999999997,9.0076866
44.0,180.12296,365.79744,9.0076866
44.032,180.08528,365.83512,9.0076866
44.06399999999999,180.04132,365.8728,9.00758298
44.096000000000004,180.00364,365.91676,9.0076866
44.128,179.96596,365.95444,9.0076866
44.16,179.92828,365.99212,9.0076866
44.19199999999999,179.8906,366.0298,9.007686600000001
44.224000000000004,179.84664,366.06748,9.00758298
44.256,179.80896,366.11144,9.007686600000001
44.288,179.77128,366.14912,9.0076866
44.31999999999999,179.7336,366.1868,9.0076866
44.352000000000004,179.69592,366.22447999999997,9.0076866
44.384,179.65824,366.26216,9.0076866
44.416,179.61428,366.29984,9.00758298
44.44799999999999,179.5766,366.3438,9.007686600000001
44.480000000000004,179.53892,366.38148,9.0076866
44.512,179.50124,366.41916,9.0076866
44.544,179.46356,366.45684,9.0076866
44.57599999999999,179.42588,366.49452,9.007686600000001
44.608000000000004,179.38192,366.5322,9.00758298
44.64,179.34424,366.57616,9.0076866
44.672,179.30656,366.61384,9.0076866
44.70399999999999,179.26888,366.65152,9.007686600000001
44.736000000000004,179.2312,366.68919999999997,9.0076866
44.768,179.18724,366.72688,9.00758298
44.8,179.14956,366.76456,9.00758298
44.831999999999994,179.11188,366.80852,9.0076866
44.864000000000004,179.0742,366.8462,9.007686600000001
44.896,179.03652,366.88388,9.0076866
44.928,178.99884,366.92156,9.0076866
44.959999999999994,178.95488,366.95924,9.00758298
44.992000000000004,178.9172,367.0032,9.0076866
45.024,178.87952,367.04088,9.007686600000001
45.056,178.84184,367.07856,9.0076866
45.087999999999994,178.80416,367.11624,9.0076866
45.120000000000005,178.76648,367.15392,9.007686600000001
45.152,178.72252,367.1916,9.00758298
45.184,178.68484,367.23556,9.007686600000001
45.215999999999994,178.64716,367.27324,9.0076866
45.248000000000005,178.60948,367.31092,9.0076866
45.28,178.5718,367.3486,9.0076866
45.312,178.52784,367.38628,9.00758298
45.343999999999994,178.49016,367.42396,9.00758298
45.376000000000005,178.45248,367.46792,9.007686600000001
45.408,178.4148,367.5056,9.007686600000001
45.44,178.37712,367.54328,9.0076866
45.471999999999994,178.33944,367.58096,9.0076866
45.504000000000005,178.29548,367.61864,9.00758298
45.536,178.2578,367.6626,9.007686600000001
45.568,178.22012,367.70028,9.007686600000001
45.599999999999994,178.18244,367.73796,9.0076866
45.63199999999999,178.14476,367.77564,9.0076866
45.664,178.10708,367.81332,9.0076866
45.696,178.06312,367.851,9.00758298
45.727999999999994,178.02544,367.89496,9.0076866
45.75999999999999,177.98776,367.93264,9.0076866
45.792,177.95007999999999,367.97032,9.007686600000001
45.824,177.9124,368.008,9.0076866
45.855999999999995,177.86844,368.04568,9.00758298
45.88799999999999,177.83076,368.08336,9.00758298
45.92,177.79308,368.12732,9.0076866
45.952,177.7554,368.165,9.007686600000001
