time_s,step,error_m
514.741,890,0.053583
514.779,891,0.066901
514.810,892,0.054008
514.852,893,0.048609
516.588,894,0.046680
517.925,895,0.050760
517.954,896,0.054158
517.994,897,0.059758
519.640,898,0.068675
519.667,899,0.040775
521.642,900,0.046992
523.325,901,0.046437
525.159,902,0.041932
527.143,903,0.052428
529.022,904,0.060837
530.876,905,0.050040
532.816,906,0.047523
534.835,907,0.063736
536.580,908,0.039488
538.089,909,0.037733
539.851,910,0.030392
541.620,911,0.070528
544.086,912,0.075957
544.146,913,0.056733
544.197,914,0.037302
544.242,915,0.060623
545.811,916,0.061208
547.200,917,0.040273
548.955,918,0.030442
550.599,919,0.020966
550.620,920,0.037204
550.651,921,0.056602
550.678,922,0.079663
552.208,923,0.043443
553.599,924,0.039046
553.621,925,0.042454
553.651,926,0.035261
555.014,927,0.075056
555.037,928,0.036295
555.067,929,0.026939
556.609,930,0.015828
556.633,931,0.023833
556.668,932,0.021875
558.080,933,0.003670
558.102,934,0.014426
558.130,935,0.052035
559.530,936,0.028613
559.551,937,0.052888
