time,true_x,true_z,est_x,est_z
8.16,-0.950163236700741,-1.7727033625061543,-5.0,5.0
8.192,-0.950146276345269,-1.7727055745940021,-5.0,5.0
8.224,-0.950130570967391,-1.7727074602312576,-5.0,5.0
8.256,-0.9501140227518644,-1.7727099198998109,-5.0,5.0
8.288,-0.9500985437830458,-1.772711813325503,-5.0,5.0
8.32,-0.9500829793356769,-1.772713820637277,-5.0,5.0
8.352,-0.9500672928259101,-1.7727158957457259,-5.0,5.0
8.384,-0.9500518475209704,-1.7727178446723302,-5.0,5.0
8.416,-0.9500370311077636,-1.7727194950400686,-5.0,5.0
8.448,-0.9500220477904492,-1.7727212770873657,-5.0,5.0
8.48,-0.9500066519984144,-1.772723265750017,-5.0,5.0
8.512,-0.9499915586193909,-1.7727250774447796,-5.0,5.0
8.544,-0.9499766745379091,-1.7727268036623636,-5.0,5.0
8.576,-0.9499614259280095,-1.7727287338892235,-5.0,5.0
8.608,-0.949946149187957,-1.772730660499986,-5.0,5.0
8.64,-0.9499309008433069,-1.7727325723068699,-5.0,5.0
8.672,-0.9499156934222042,-1.7727344693216178,-5.0,5.0
8.704,-0.949899979365002,-1.7727366297236868,-5.0,5.0
8.736,-0.9498852302540329,-1.772738275299895,-5.0,5.0
8.768,-0.9498705078159236,-1.7727399726246844,-5.0,5.0
8.8,-0.9498561588760024,-1.7727414971561262,-5.0,5.0
8.832,-0.9498400311171461,-1.7727439508809522,-5.0,5.0
8.864,-0.9498248080311081,-1.7727458379629204,-5.0,5.0
8.896,-0.9498102265750106,-1.772747450507486,-5.0,5.0
8.928,-0.9497954054808525,-1.772749238382801,-5.0,5.0
8.96,-0.9497849660863694,-1.7727502917267688,-5.0,5.0
8.992,-0.9497740751713131,-1.7727517372346735,-5.0,5.0
9.024,-0.9497634582245372,-1.7727530035421715,-5.0,5.0
9.056,-0.949752864719192,-1.7727542580724995,-5.0,5.0
9.088,-0.949742198792822,-1.772755540324793,-5.0,5.0
9.12,-0.9497321888771638,-1.7727564799325917,-5.0,5.0
9.152,-0.9497216024693131,-1.7727577371588166,-5.0,5.0
9.184,-0.9497113411940058,-1.7727587976419241,-5.0,5.0
9.216,-0.949700902002377,-1.7727599605123632,-5.0,5.0
9.248,-0.9496897204146476,-1.7727614874504722,-5.0,5.0
9.28,-0.949678972306135,-1.7727627571447717,-5.0,5.0
9.312,-0.949668231221189,-1.7727640434526255,-5.0,5.0
9.344,-0.9496578733664641,-1.7727651364466879,-5.0,5.0
9.376,-0.9496467197659509,-1.7727666509475293,-5.0,5.0
9.408,-0.9496366957890966,-1.7727675563506273,-5.0,5.0
9.44,-0.9496263611660962,-1.7727686752079028,-5.0,5.0
9.472,-0.9496160223922291,-1.772769782714183,-5.0,5.0
9.504,-0.9496045094220273,-1.772771485061388,-5.0,5.0
9.536,-0.9495944101522794,-1.7727724163954734,-5.0,5.0
9.568,-0.9495838691282399,-1.7727736418315965,-5.0,5.0
9.6,-0.9495731294837226,-1.772774948423439,-5.0,5.0
9.632,-0.94956277989756,-1.7727760498658545,-5.0,5.0
9.664,-0.9495524743308105,-1.7727771502016318,-5.0,5.0
9.696,-0.9495422814412317,-1.7727781979737032,-5.0,5.0
