Step,True_X,True_Z,True_Theta,Est_X,Est_Z,Est_Theta
134,-0.760714301142963,-2.606497802309387,-1.5669463842232725,-0.7709895799204606,-2.6022313777682373,-2.7497354171378174
135,-0.7607123153119694,-2.6064978971205193,-1.5669373260587343,-0.7127528743039434,-2.6005369810522696,-2.7765819161144556
136,-0.7607103298456375,-2.606497991926057,-1.5669282741689023,-0.7479433638006651,-2.6160334277395156,-2.7906350639986703
137,-0.7607083447000423,-2.6064980867288496,-1.566919227793313,-0.7728517267807579,-2.615883646394099,-2.6985372427359926
138,-0.7607063598366236,-2.6064981815313426,-1.5669101862642605,-0.7771548441723025,-2.6720245176024235,-2.679151088399201
139,-0.7607043752215301,-2.606498276335637,-1.5669011489954652,-0.7622200662620096,-2.6397645063356925,-2.6105388402308645
140,-0.7607023908250424,-2.6064983711435374,-1.5668921154721254,-0.7624005067204856,-2.6283715056248855,-2.494596737515191
141,-0.760700406621068,-2.606498465956598,-1.566883085242186,-0.7588763012369462,-2.628501927345838,-2.3848432248374984
142,-0.7606984225866964,-2.606498560776152,-1.566874057908675,-0.7739905482006874,-2.607935708012252,-2.5029338036148046
143,-0.7606964387018105,-2.6064986556033483,-1.5668650331229719,-0.7491197303722905,-2.609709527572967,-2.412249421610631
144,-0.7606944549487443,-2.606498750439173,-1.5668560105788933,-0.7804761168959042,-2.6510993576971593,-2.4750984745177442
145,-0.760692471311983,-2.606498845284474,-1.5668469900075164,-0.7595124209927706,-2.6436206730393628,-2.4934278088447237
146,-0.7606904877779002,-2.6064989401399807,-1.5668379711726177,-0.762129634499076,-2.671194073116684,-2.301257710998498
147,-0.7606885043345254,-2.6064990350063186,-1.5668289538666818,-0.7459040123510291,-2.644818421836234,-2.1650944286914484
148,-0.7606865209713431,-2.606499129884022,-1.5668199379073844,-0.7514726860065827,-2.6314956365263704,-2.1443625077964694
149,-0.7606845376791141,-2.6064992247735503,-1.566810923134521,-0.7789760864634375,-2.640783042395395,-2.0145208870145694
150,-0.7606825544497183,-2.6064993196752932,-1.566801909407294,-0.7423585157122061,-2.6221030373168275,-2.135159981882308
151,-0.7606805712760187,-2.606499414589584,-1.566792896601944,-0.7772075595233039,-2.6305056356238237,-2.208120161736337
152,-0.7606785881517412,-2.606499509516704,-1.566783884609665,-0.7529310247167352,-2.6547836206830207,-2.23010780161466
153,-0.7606766050713681,-2.6064996044568898,-1.566774873334773,-0.7642699262576929,-2.6409120367870504,-2.0137208406181624
154,-0.7606746220300463,-2.6064996994103415,-1.5667658626931031,-0.7708503127345527,-2.6174367403848424,-1.9532735398828356
155,-0.760672639023505,-2.6064997943772235,-1.5667568526105993,-0.7601531237861417,-2.566827201710559,-1.911385720535734
156,-0.7606706560479856,-2.6064998893576723,-1.5667478430220698,-0.7625656952130119,-2.556558662016223,-1.9326931257485047
157,-0.7606686731001773,-2.606499984351798,-1.5667388338701165,-0.7711084371736334,-2.596046370461631,-1.8793877954164282
158,-0.7606666901771636,-2.606500079359688,-1.5667298251041637,-0.7608740993790484,-2.607602746999797,-2.014507223104008
159,-0.7606647072763734,-2.606500174381411,-1.5667208166796345,-0.7715205248669081,-2.615502803769752,-2.173533238706465
160,-0.7606627243955385,-2.6065002694170163,-1.566711808557212,-0.7740896317171098,-2.62736494663617,-2.289656310574918
161,-0.7606607415326572,-2.6065003644665405,-1.5667028007021901,-0.757069124742965,-2.6071461760659993,-2.280919974573666
162,-0.7606587586859601,-2.606500459530005,-1.5666937930839142,-0.7620534482002512,-2.592251928702771,-2.324161159276576
163,-0.7606567758538829,-2.60650055460742,-1.5666847856752857,-0.7534762390394892,-2.6019549750732454,-2.3028980063594937
164,-0.760654793035041,-2.606500649698786,-1.5666757784523138,-0.7494060844133081,-2.6162332800047143,-2.284936967910305
165,-0.7606528102282071,-2.606500744804092,-1.5666667713937477,-0.7674032764402783,-2.636699132625471,-2.3911486894392766
166,-0.7606508274322917,-2.606500839923322,-1.5666577644807365,-0.7521066052883402,-2.633789615730081,-2.348757056101625
167,-0.7606488446463268,-2.6065009350564505,-1.566648757696529,-0.7658285727434773,-2.6208600906484736,-2.369999005312362
168,-0.7606468618694501,-2.606501030203446,-1.5666397510262207,-0.7336615428856235,-2.611188525316944,-2.4314497514586657
169,-0.7606448791008927,-2.606501125364273,-1.5666307444565286,-0.7473716265828295,-2.606483415182291,-2.2851584787796093
170,-0.7606428963399678,-2.6065012205388887,-1.5666217379755862,-0.770578444343834,-2.63598400044722,-2.4685768814453577
171,-0.7606409135860597,-2.6065013157272463,-1.5666127315727745,-0.747781321547821,-2.6075582874929455,-2.529977796208299
172,-0.7606389308386151,-2.6065014109292965,-1.566603725238565,-0.7277926690023839,-2.6080852416754468,-2.3785613549643543
173,-0.7606369480971366,-2.6065015061449857,-1.566594718964391,-0.7509625668032944,-2.601084467408563,-2.2229061182503935
174,-0.7606349653611747,-2.606501601374257,-1.5665857127425218,-0.7677590690670707,-2.6720184895716304,-2.195238943063698
175,-0.7606329826303222,-2.60650169661705,-1.5665767065659693,-0.7514571342065954,-2.637046742324431,-2.2216451967069584
176,-0.7606309999042093,-2.6065017918733036,-1.5665677004283864,-0.7707302768557485,-2.6467500580170045,-2.151377546811903
177,-0.7606290171824983,-2.6065018871429535,-1.566558694324,-0.771384923090445,-2.611607751913094,-2.129124298024265
178,-0.7606270344648804,-2.6065019824259337,-1.5665496882475323,-0.7747839349341935,-2.6161123866938327,-2.1796600375823294
179,-0.7606250517510718,-2.606502077722176,-1.5665406821941446,-0.7855699424246133,-2.600819052353798,-2.233765550221768
180,-0.7606230690408105,-2.606502173031611,-1.5665316761593804,-0.7737452107085687,-2.5901303474065935,-2.294691731013145
