Step,True_X,True_Z,True_Theta,Est_X,Est_Z,Est_Theta,RMSE
108,0.24320683810672403,-2.0577837976624602,-1.513421419687882,0.22746902244548514,-0.7483962764653589,2.572189457111418,1.3094820959098588
109,0.2434969801535562,-2.0526723015203463,-1.5133961706955774,0.24468672828714794,-0.7554183956207292,-1.413938070707384,1.2972544514752817
110,0.2437872512415281,-2.0475608109191232,-1.5133709210522106,0.25386692104427394,-0.7289022052019858,0.38148461235955616,1.3186971290539755
111,0.24407765137223358,-2.042449325862044,-1.5133456707569009,0.5554286592760285,-0.9486247335220768,-1.7225243843425357,1.1372737968186923
112,0.24436818054718734,-2.037337846352442,-1.5133204198087753,0.5146434486094146,-0.8076795527838403,0.8303756963555787,1.2590108178519175
113,0.24465883876785074,-2.032226372393737,-1.5132951682069753,0.27025818947464153,-0.5692424839362028,-1.758494589126155,1.4632078405486133
114,0.24494962603565845,-2.027114903989432,-1.5132699159506384,0.26962527759893284,-0.8672140745636271,-2.443066716109495,1.1601632738036238
115,0.24524054235204554,-2.02200344114312,-1.5132446630388976,0.3584916925880948,-0.8552378454340585,0.6879069558302398,1.1722490257450031
116,0.24553158771847503,-2.016891983858477,-1.5132194094708757,0.24776364074788002,-0.7742626271890279,1.1013825807900985,1.2426313613125393
117,0.24582276213646487,-2.0117805321392614,-1.5131941552456845,0.3098324118065649,-0.8442627546497089,1.080506324009295,1.1692711387890462
118,0.24611406560761478,-2.0066690859893095,-1.5131689003624118,0.38864266963995675,-0.9466892062993467,2.7531886022045446,1.0695194006257933
119,0.2464054981336309,-2.001557645412527,-1.5131436448201205,0.3156811033791991,-0.9238066296629859,-0.978426461603134,1.079975167043811
120,0.24669705971634956,-1.996446210412884,-1.5131183886178463,0.48467706048012,-0.6295468982357352,-0.8837135635607076,1.3874610662623605
121,0.24698875035775797,-1.991334780994403,-1.5130931317545813,0.44559680308724164,-0.7801474367569213,1.2351670788511981,1.2273630031290832
122,0.24728057006001283,-1.9862233571611534,-1.513067874229288,0.320407318751917,-0.7604484896836504,1.3814915005976645,1.2279542121405582
